Ballots with first choice:,Number of Ballots,CAROL LEE TOLBERT ranked in top 3,IGNACIO DE LA FUENTE ranked in top 3,MICK STORM ranked in top 3,REBECCA KAPLAN ranked in top 3,THERESA ANDERSON ranked in top 3,writeIns ranked in top 3
CAROL LEE TOLBERT,22606.0,100.0,37.29,21.53,45.17,40.08,1.04
IGNACIO DE LA FUENTE,42680.0,39.73,100.0,15.85,40.34,21.58,1.32
MICK STORM,4567.0,50.01,27.39,100.0,33.5,42.08,1.45
REBECCA KAPLAN,65041.0,43.84,36.07,13.82,100.0,24.59,1.12
THERESA ANDERSON,8805.0,52.17,18.32,24.79,46.33,100.0,0.87
writeIns,821.0,11.69,8.4,4.51,14.49,6.09,100.0
