Ballots with first choice:,Number of Ballots,CLINTON KILLIAN ranked in top 3,DANIEL SWAFFORD ranked in top 3,JASON GILLEN ranked in top 3,JILL BROADHURST ranked in top 3,LIBBY SCHAAF ranked in top 3,MELANIE SHELBY ranked in top 3,RALPH KANZ ranked in top 3,writeIns ranked in top 3
CLINTON KILLIAN,1138,1138,235,213,358,347,443,125,16
DANIEL SWAFFORD,2348,329,2348,301,897,1167,528,302,20
JASON GILLEN,530,138,151,530,137,147,139,114,7
JILL BROADHURST,4807,921,966,456,4807,2485,1218,720,37
LIBBY SCHAAF,8756,1380,2843,697,4436,8756,2020,1088,70
MELANIE SHELBY,2463,829,458,368,790,816,2463,224,27
RALPH KANZ,883,121,360,87,251,485,166,883,8
writeIns,69,6,3,1,5,4,11,3,69
