Ballots with first choice:,Number of Ballots,CATHERINE STEFANI ranked in top 3,JOHN DENNIS ranked in top 3,NICK JOSEFOWITZ ranked in top 3,SCHUYLER HUDAK ranked in top 3
CATHERINE STEFANI,14415,14415,2894,6754,6960
JOHN DENNIS,3108,1176,3108,1130,1300
NICK JOSEFOWITZ,13644,8104,2698,13644,6831
SCHUYLER HUDAK,4145,2747,1216,2364,4145
