Ballots with first choice:,Number of Ballots,CORINA LOPEZ ranked in top 3,LEAH HALL ranked in top 3,MIA OUSLEY ranked in top 3
CORINA LOPEZ,7906.0,100.0,63.19,63.53
LEAH HALL,3486.0,64.69,100.0,65.98
MIA OUSLEY,3292.0,68.96,66.46,100.0
