Ballots with first choice:,Number of Ballots,Alix Amelia Rosenthal ranked in top 3,Bevan Dufty ranked in top 3,Starchild ranked in top 3,writeIns ranked in top 3
Alix Amelia Rosenthal,9251.0,100.0,54.79,40.0,0.0
Bevan Dufty,20924.0,45.36,100.0,28.68,0.0
Starchild,1537.0,54.33,52.44,100.0,0.0
writeIns,3.0,33.33,0.0,0.0,100.0
