Ballots with first choice:,Number of Ballots,LEE THOMAS ranked in top 3,"VICTOR AGUILAR, JR. ranked in top 3"
LEE THOMAS,11358.0,100.0,56.55
"VICTOR AGUILAR, JR.",11902.0,63.6,100.0
