Ballots with first choice:,Number of Ballots,BEN GOULD ranked in top 3,GREGORY MAGOFNA ranked in top 3,KATE HARRISON ranked in top 3
BEN GOULD,1914.0,100.0,76.28,67.29
GREGORY MAGOFNA,667.0,83.96,100.0,63.12
KATE HARRISON,2892.0,62.59,57.37,100.0
