Ballots with first choice:,Number of Ballots,CLARISSA DOUTHERD ranked in top 3,GARY D. YEE ranked in top 3
CLARISSA DOUTHERD,10104.0,100.0,38.29
GARY D. YEE,14534.0,43.36,100.0
