Ballots with first choice:,Number of Ballots,Carol Kummer ranked in top 3,Dan W. Peterson ranked in top 3,Jason Stone ranked in top 3,McClain Looney ranked in top 3,Steve Barland ranked in top 3,writeIns ranked in top 3
Carol Kummer,2964,2964,416,863,238,991,10
Dan W. Peterson,369,111,369,115,47,100,2
Jason Stone,2788,1069,222,2788,125,959,12
McClain Looney,151,47,37,45,151,38,4
Steve Barland,1541,640,188,519,87,1541,6
writeIns,35,1,1,2,1,0,35
