Ballots with first choice:,Number of Ballots,ABEL GUILLÉN ranked in top 3,KENZIE DONTE SMITH ranked in top 3,NIKKI FORTUNATO BAS ranked in top 3
ABEL GUILLÉN,8323,8323,3480,4797
KENZIE DONTE SMITH,1349,735,1349,887
NIKKI FORTUNATO BAS,11310,6571,6115,11310
