Ballots with first choice:,Number of Ballots,ANDREW ''ELLARD'' RESIGNATO ranked in top 3,CHRISTINA OLAGUE ranked in top 3,DANIEL EVERETT ranked in top 3,HOPE JOHNSON ranked in top 3,JOHN RIZZO ranked in top 3,JULIAN DAVIS ranked in top 3,LONDON BREED ranked in top 3,THEA SELBY ranked in top 3
ANDREW ''ELLARD'' RESIGNATO,782,782,161,115,101,180,207,298,246
CHRISTINA OLAGUE,6955,432,6955,666,472,2424,2336,2361,1745
DANIEL EVERETT,1315,162,298,1315,141,377,364,387,329
HOPE JOHNSON,490,84,104,100,490,115,111,122,184
JOHN RIZZO,5683,397,1652,575,270,5683,1680,1502,2827
JULIAN DAVIS,5342,454,1953,598,359,1959,5342,1687,1467
LONDON BREED,9842,796,2758,906,764,2557,2725,9842,2835
THEA SELBY,4738,476,1125,585,507,1667,1163,1740,4738
