Ballots with first choice:,Number of Ballots,ARNOLD FIELDS ranked in top 3,DON MACLEAY ranked in top 3,DON PERATA ranked in top 3,GREG HARLAND ranked in top 3,JEAN QUAN ranked in top 3,JOE TUMAN ranked in top 3,LARRY LIONEL ''LL'' YOUNG JR. ranked in top 3,MARCIE HODGE ranked in top 3,REBECCA KAPLAN ranked in top 3,TERENCE CANDELL ranked in top 3,writeIns ranked in top 3
ARNOLD FIELDS,733,733,92,140,154,150,171,75,72,129,153,8
DON MACLEAY,1630,88,1630,128,71,1135,231,66,75,1086,87,15
DON PERATA,40342,1243,1034,40342,1583,17814,9632,2068,5396,15960,3349,569
GREG HARLAND,966,174,161,182,966,198,296,57,83,170,151,17
JEAN QUAN,29266,762,1325,9806,763,29266,9583,1108,3859,17182,1791,287
JOE TUMAN,14347,735,669,4809,1272,6452,14347,477,1125,7480,866,150
LARRY LIONEL ''LL'' YOUNG JR.,933,79,67,239,46,202,140,933,215,257,185,19
MARCIE HODGE,2994,122,97,1089,114,1054,338,444,2994,904,522,44
REBECCA KAPLAN,25813,614,1126,8072,420,17811,11133,1028,2465,25813,1216,224
TERENCE CANDELL,2315,160,84,733,146,630,296,377,550,522,2315,26
writeIns,268,7,9,52,4,50,26,12,12,23,11,268
