Ballots with first choice:,Number of Ballots,David Pascal ranked in top 3,Jay R. Shah ranked in top 3,Michela Alioto-pier ranked in top 3,Roger E. Schulke ranked in top 3,Steve Braccini ranked in top 3
David Pascal,4235,4235,1317,1761,1429,1407
Jay R. Shah,1387,592,1387,622,575,506
Michela Alioto-pier,21118,6660,4288,21118,4189,7304
Roger E. Schulke,1957,1033,777,690,1957,820
Steve Braccini,5791,2205,1481,2305,2084,5791
