Ballots with first choice:,Number of Ballots,BENNY LEE ranked in top 3,DAN DILLMAN ranked in top 3,JEROMEY SHAFER ranked in top 3,PAULINE RUSSO CUTTER ranked in top 3
BENNY LEE,7045,7045,2150,2907,3862
DAN DILLMAN,1824,865,1824,793,853
JEROMEY SHAFER,3567,1675,1485,3567,1790
PAULINE RUSSO CUTTER,13355,7326,3844,5871,13355
