Ballots with first choice:,Number of Ballots,Erica Mauter ranked in top 3,Jeremy Schroeder ranked in top 3,John Quincy ranked in top 3,writeIns ranked in top 3
Erica Mauter,2696.0,100.0,78.86,64.43,1.89
Jeremy Schroeder,3230.0,69.66,100.0,63.25,2.11
John Quincy,3200.0,52.66,58.41,100.0,1.22
writeIns,34.0,2.94,8.82,20.59,100.0
