Ballots with first choice:,Number of Ballots,BENJAMIN LANG ranked in top 3,JUMOKE HINTON HODGE ranked in top 3,KHARYSHI ''MS. K'' WIGINTON ranked in top 3,LUCKY NARAIN ranked in top 3,MISTY CROSS ranked in top 3
BENJAMIN LANG,4391.0,100.0,55.02,59.42,22.8,0.0
JUMOKE HINTON HODGE,8905.0,52.08,100.0,52.96,15.22,0.03
KHARYSHI ''MS. K'' WIGINTON,7400.0,60.74,47.88,100.0,14.51,0.15
LUCKY NARAIN,1616.0,51.18,39.05,39.85,100.0,0.0
MISTY CROSS,39.0,17.95,17.95,30.77,2.56,100.0
