Ballots with first choice:,Number of Ballots,SOPHIE HAHN ranked in top 3,STEPHEN MURPHY ranked in top 3
SOPHIE HAHN,5821.0,100.0,40.32
STEPHEN MURPHY,3502.0,36.81,100.0
