Ballots with first choice:,Number of Ballots,Brent Perry ranked in top 3,Charley Underwood ranked in top 3,Rick L. Nyhlen ranked in top 3,Sandy Colvin Roy ranked in top 3,writeIns ranked in top 3
Brent Perry,130.0,100.0,63.85,29.23,55.38,2.31
Charley Underwood,663.0,28.66,100.0,35.9,53.24,0.9
Rick L. Nyhlen,880.0,13.07,31.02,100.0,23.52,1.82
Sandy Colvin Roy,3035.0,9.88,37.03,17.66,100.0,0.76
writeIns,10.0,10.0,0.0,20.0,10.0,100.0
