Ballots with first choice:,Number of Ballots,BOB REUER ranked in top 3,DAVID REGAN ranked in top 3,LINEA PALMISANO ranked in top 3,MATT PERRY ranked in top 3,MISSY DURANT ranked in top 3,writeIns ranked in top 3
BOB REUER,749,749,281,148,239,83,20
DAVID REGAN,199,145,199,32,46,14,12
LINEA PALMISANO,4452,250,113,4452,3285,2915,27
MATT PERRY,4063,497,227,2782,4063,2356,30
MISSY DURANT,985,98,39,725,709,985,6
writeIns,10,2,1,4,0,4,10
