Ballots with first choice:,Number of Ballots,Bernie Kunza ranked in top 3,John Malone ranked in top 3,Liz Wielinski ranked in top 3,writeIns ranked in top 3
Bernie Kunza,909,909,346,380,16
John Malone,565,241,565,225,6
Liz Wielinski,4335,1152,942,4335,31
writeIns,33,1,1,5,33
