Ballots with first choice:,Number of Ballots,Bernie Kunza ranked in top 3,John Malone ranked in top 3,Liz Wielinski ranked in top 3,writeIns ranked in top 3
Bernie Kunza,909.0,100.0,38.06,41.8,1.76
John Malone,565.0,42.65,100.0,39.82,1.06
Liz Wielinski,4335.0,26.57,21.73,100.0,0.72
writeIns,33.0,3.03,3.03,15.15,100.0
