Ballots with first choice:,Number of Ballots,CAT BROOKS ranked in top 3,CEDRIC A. TROUPE ranked in top 3,JESSE A.J. SMITH ranked in top 3,KEN HOUSTON ranked in top 3,LIBBY SCHAAF ranked in top 3,MARCHON TATMON ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PAMELA PRICE ranked in top 3,PETER YUAN LIU ranked in top 3,SAIED KARAMOOZ ranked in top 3
CAT BROOKS,40760.0,100.0,3.67,2.99,3.6,36.46,12.07,2.69,72.94,1.14,20.9
CEDRIC A. TROUPE,1128.0,26.06,100.0,14.63,15.6,18.88,14.63,14.45,29.7,6.83,11.61
JESSE A.J. SMITH,743.0,22.88,14.67,100.0,14.8,23.28,9.15,13.86,32.84,8.21,11.71
KEN HOUSTON,2640.0,25.34,13.83,9.89,100.0,22.31,11.4,9.77,27.39,6.63,8.41
LIBBY SCHAAF,84502.0,35.86,2.91,2.52,3.33,100.0,5.9,6.09,41.48,2.76,7.37
MARCHON TATMON,2114.0,32.54,10.45,3.69,9.37,26.68,100.0,7.43,43.28,2.79,7.66
NANCY SIDEBOTHAM,1766.0,12.23,12.8,7.76,15.35,23.61,13.31,100.0,19.37,9.97,16.25
PAMELA PRICE,20794.0,56.33,6.02,3.85,5.83,45.19,15.62,5.52,100.0,1.85,9.84
PETER YUAN LIU,1166.0,11.75,8.75,8.83,15.27,26.42,9.09,15.35,14.58,100.0,15.78
SAIED KARAMOOZ,3005.0,54.68,5.66,4.43,5.32,24.66,7.99,9.32,55.81,4.33,100.0
