Ballots with first choice:,Number of Ballots,Andy Exley ranked in top 3,Bruce Lundeen ranked in top 3,Laura Jean ranked in top 3,M. Cali ranked in top 3,Michael Tupper ranked in top 3,Robert Lilligren ranked in top 3,writeIns ranked in top 3
Andy Exley,165.0,100.0,24.24,44.85,30.3,23.03,38.79,0.61
Bruce Lundeen,60.0,46.67,100.0,16.67,20.0,23.33,40.0,1.67
Laura Jean,231.0,38.53,16.45,100.0,15.58,30.74,39.39,0.43
M. Cali,158.0,27.22,10.13,13.29,100.0,18.99,17.09,0.0
Michael Tupper,292.0,28.08,19.52,28.77,16.44,100.0,29.11,3.42
Robert Lilligren,1020.0,20.0,15.59,30.69,12.25,18.92,100.0,0.69
writeIns,4.0,0.0,0.0,0.0,0.0,25.0,50.0,100.0
