Ballots with first choice:,Number of Ballots,Jan Shabro ranked in top 3,Julie Anderson ranked in top 3,Will Baker ranked in top 3,writeIns ranked in top 3
Jan Shabro,63338,63338,40995,31794,1526
Julie Anderson,76634,49929,76634,41222,1823
Will Baker,12978,8450,8980,12978,195
writeIns,578,88,101,41,578
