Ballots with first choice:,Number of Ballots,AIMEE ENG ranked in top 3,WILLIAM ''BO'' GHIRARDELLI ranked in top 3
AIMEE ENG,8907.0,100.0,43.04
WILLIAM ''BO'' GHIRARDELLI,2803.0,54.33,100.0
