Ballots with first choice:,Number of Ballots,"Fantini, Alfred B. ranked in top 3","Grassi, Joseph G. ranked in top 3","Harding, Richard, Jr. ranked in top 3","Lummis, Ben ranked in top 3","McGovern, Marc C. ranked in top 3","Nolan, Patricia M. ranked in top 3","Schuster, Luc ranked in top 3","Walser, Nancy ranked in top 3",writeIns ranked in top 3
"Fantini, Alfred B.",2278,2278,1307,496,234,357,294,139,295,5
"Grassi, Joseph G.",1990,1099,1990,511,197,250,205,107,244,6
"Harding, Richard, Jr.",1979,438,549,1979,357,375,255,295,391,12
"Lummis, Ben",1512,164,157,278,1512,449,394,335,663,5
"McGovern, Marc C.",1411,215,143,307,391,1411,442,307,488,0
"Nolan, Patricia M.",2385,233,272,325,535,671,2385,972,848,7
"Schuster, Luc",1842,173,141,361,500,490,666,1842,588,7
"Walser, Nancy",2001,291,292,294,680,517,645,385,2001,4
writeIns,55,1,1,8,0,2,7,1,7,55
