Ballots with first choice:,Number of Ballots,CHERYL DAVILA ranked in top 3,DARRYL MOORE ranked in top 3,NANCI IRA ARMSTRONG-TEMPLE ranked in top 3
CHERYL DAVILA,2215,2215,1280,1629
DARRYL MOORE,2837,1665,2837,1578
NANCI IRA ARMSTRONG-TEMPLE,2086,1572,1128,2086
