Ballots with first choice:,Number of Ballots,ASHLEY H RHODES ranked in top 3,CHRIS JACKSON ranked in top 3,DEWITT M. LACY ranked in top 3,DIANE WESLEY SMITH ranked in top 3,ED DONALDSON ranked in top 3,ELLSWORTH ''ELL'' JENNISON ranked in top 3,ERIC SMITH ranked in top 3,GEOFFREA MORRIS ranked in top 3,JACKIE NORMAN ranked in top 3,JAMES M. CALLOWAY ranked in top 3,KRISTINE ENEA ranked in top 3,LYNETTE SWEET ranked in top 3,M.J. MARIE FRANKLIN ranked in top 3,MALIA COHEN ranked in top 3,MARLENE TRAN ranked in top 3,NYESE JOSHUA ranked in top 3,"RODNEY HAMPTON, JR. ranked in top 3",STEPHEN WEBER ranked in top 3,STEVE MOSS ranked in top 3,TERESA DUQUE ranked in top 3,TONY KELLY ranked in top 3,writeIns ranked in top 3
ASHLEY H RHODES,260,260,16,12,54,9,10,8,8,29,28,22,22,8,56,28,8,16,20,8,5,21,0
CHRIS JACKSON,1088,20,1088,178,45,118,9,81,29,26,56,55,161,10,198,102,6,41,25,130,53,273,2
DEWITT M. LACY,1274,12,200,1274,36,35,5,378,42,20,38,65,183,18,479,45,18,31,19,177,23,197,2
DIANE WESLEY SMITH,399,36,50,40,399,4,12,16,10,31,43,15,101,10,64,15,14,18,13,29,6,15,1
ED DONALDSON,202,2,18,27,12,202,2,15,11,11,14,10,57,6,35,3,2,32,9,17,7,5,0
ELLSWORTH ''ELL'' JENNISON,68,3,8,4,3,3,68,5,3,7,7,7,8,5,7,6,7,3,7,3,5,12,0
ERIC SMITH,448,7,87,86,15,17,3,448,17,8,17,24,35,4,114,14,2,17,14,101,3,137,0
GEOFFREA MORRIS,333,12,27,28,25,15,5,11,333,19,22,11,59,9,63,12,10,37,3,22,13,9,1
JACKIE NORMAN,186,19,20,14,29,6,2,10,11,186,7,8,35,3,31,1,7,16,4,11,2,8,0
JAMES M. CALLOWAY,417,22,50,44,42,15,14,17,23,19,417,27,64,17,47,35,19,33,21,44,20,29,0
KRISTINE ENEA,544,11,57,90,23,18,6,61,21,17,24,544,91,8,73,41,8,11,45,117,28,110,2
LYNETTE SWEET,2150,55,340,286,145,92,8,114,80,97,123,102,2150,27,513,83,23,115,54,286,44,130,6
M.J. MARIE FRANKLIN,81,1,6,8,4,2,8,5,5,4,9,6,10,81,7,14,8,9,2,11,11,7,0
MALIA COHEN,2097,51,344,325,156,45,26,249,106,84,95,100,494,17,2097,91,32,79,53,250,66,166,5
MARLENE TRAN,2049,28,243,98,27,27,17,34,53,20,101,63,148,46,127,2049,26,21,52,184,1005,219,2
NYESE JOSHUA,135,5,18,11,15,4,7,2,13,3,8,6,13,5,16,13,135,15,9,8,9,24,1
"RODNEY HAMPTON, JR.",237,22,24,21,22,22,8,18,23,8,22,8,40,8,26,11,15,237,14,17,6,10,0
STEPHEN WEBER,311,20,21,35,27,13,11,11,3,13,23,34,27,4,34,16,9,17,311,50,14,35,0
STEVE MOSS,1969,20,248,230,52,45,26,179,36,24,80,194,328,28,289,140,22,53,104,1969,104,541,3
TERESA DUQUE,1441,11,96,64,20,8,20,23,22,23,34,38,77,54,117,762,30,19,21,125,1441,85,3
TONY KELLY,2102,18,831,897,22,42,15,151,25,16,34,128,206,14,191,84,58,20,53,476,24,2102,7
writeIns,17,0,1,2,0,1,0,0,0,1,1,1,4,0,1,0,0,0,0,1,0,0,17
