Ballots with first choice:,Number of Ballots,CORINA N. LOPEZ ranked in top 3,MAXINE OLIVER-BENSON ranked in top 3
CORINA N. LOPEZ,16415.0,100.0,55.45
MAXINE OLIVER-BENSON,6875.0,59.3,100.0
