Ballots with first choice:,Number of Ballots,Blong Yang ranked in top 3,Cathy Spann ranked in top 3,Jeremiah Ellison ranked in top 3,Raeisha (RA) Williams ranked in top 3,writeIns ranked in top 3
Blong Yang,1617.0,100.0,26.78,46.69,31.54,1.36
Cathy Spann,158.0,45.57,100.0,58.86,41.14,1.9
Jeremiah Ellison,1986.0,47.33,30.21,100.0,57.91,1.26
Raeisha (RA) Williams,445.0,43.6,31.24,69.44,100.0,0.9
writeIns,8.0,0.0,0.0,12.5,12.5,100.0
