Ballots with first choice:,Number of Ballots,ANDY THORNLEY ranked in top 3,BRIAN J. LARKIN ranked in top 3,DAVID LEE ranked in top 3,JASON JUNGREIS ranked in top 3,JONATHAN LYENS ranked in top 3,MARJAN PHILHOUR ranked in top 3,RICHIE GREENBERG ranked in top 3,SAMUEL KWONG ranked in top 3,SANDRA LEE FEWER ranked in top 3,SHERMAN R. D'SILVA ranked in top 3
ANDY THORNLEY,360,360,51,47,26,83,130,25,8,196,25
BRIAN J. LARKIN,747,85,747,142,115,152,218,146,101,187,121
DAVID LEE,3402,86,275,3402,178,360,1491,226,803,1714,241
JASON JUNGREIS,612,36,103,91,612,78,190,214,125,116,102
JONATHAN LYENS,611,48,97,133,50,611,231,89,45,270,79
MARJAN PHILHOUR,11099,389,900,4487,495,992,11099,1173,982,5377,657
RICHIE GREENBERG,980,67,240,171,161,136,301,980,114,188,145
SAMUEL KWONG,744,14,78,361,107,48,267,138,744,197,37
SANDRA LEE FEWER,12568,628,572,4659,482,1708,5663,725,769,12568,605
SHERMAN R. D'SILVA,558,41,105,148,60,64,196,90,26,168,558
