Ballots with first choice:,Number of Ballots,CAROL LIBBRECHT ranked in top 3,"DAVID L. ANDERSON, SR. ranked in top 3",MICHAEL J. GREGORY ranked in top 3,writeIns ranked in top 3
CAROL LIBBRECHT,120,120,73,54,0
"DAVID L. ANDERSON, SR.",6742,18,6742,3646,683
MICHAEL J. GREGORY,13030,13,7562,13030,959
writeIns,152,0,39,40,152
