Ballots with first choice:,Number of Ballots,DAN DILLMAN ranked in top 3,MORGAN MACK-ROSE ranked in top 3,URSULA REED ranked in top 3,writeIns ranked in top 3
DAN DILLMAN,4823,4823,3233,3099,104
MORGAN MACK-ROSE,9666,6348,9666,7079,148
URSULA REED,10734,6721,7467,10734,122
writeIns,213,26,29,13,213
