Ballots with first choice:,Number of Ballots,"Arford, Poppy ranked in top 3","Perreault, Corinne Ann ranked in top 3","Wilson, Katherine E. ranked in top 3"
"Arford, Poppy",899.0,100.0,74.97,73.41
"Perreault, Corinne Ann",614.0,78.83,100.0,76.06
"Wilson, Katherine E.",657.0,74.73,72.45,100.0
