Ballots with first choice:,Number of Ballots,ALFRED TWU ranked in top 3,LORI DROSTE ranked in top 3,MARY KAY LACEY ranked in top 3,RUSS TILLEMAN ranked in top 3
ALFRED TWU,695.0,100.0,57.12,63.6,31.22
LORI DROSTE,3677.0,37.94,100.0,59.26,25.1
MARY KAY LACEY,1990.0,44.27,57.89,100.0,39.15
RUSS TILLEMAN,183.0,42.08,56.28,56.83,100.0
