Ballots with first choice:,Number of Ballots,Jono Cowgill ranked in top 3,Tom Nordyke ranked in top 3,writeIns ranked in top 3
Jono Cowgill,6794.0,100.0,47.78,4.46
Tom Nordyke,6614.0,41.96,100.0,3.39
writeIns,103.0,12.62,15.53,100.0
