Ballots with first choice:,Number of Ballots,BRYAN AZEVEDO ranked in top 3,ED HERNANDEZ ranked in top 3
BRYAN AZEVEDO,12282.0,100.0,50.23
ED HERNANDEZ,14648.0,57.93,100.0
