Ballots with first choice:,Number of Ballots,"Crafts, Lydia V. ranked in top 3","Levesque, David J. ranked in top 3","Pieh, Wendy ranked in top 3"
"Crafts, Lydia V.",1011.0,100.0,77.94,82.69
"Levesque, David J.",273.0,78.02,100.0,82.05
"Pieh, Wendy",741.0,73.95,67.61,100.0
