Ballots with first choice:,Number of Ballots,BRUCE QUAN ranked in top 3,FRANCIS ''MATT'' HUMMEL ranked in top 3,NANCY SIDEBOTHAM ranked in top 3,PEGGY MOORE ranked in top 3,REBECCA KAPLAN ranked in top 3
BRUCE QUAN,27342.0,100.0,23.49,20.3,53.46,55.24
FRANCIS ''MATT'' HUMMEL,11593.0,42.98,100.0,25.55,26.85,52.91
NANCY SIDEBOTHAM,5799.0,40.59,31.54,100.0,32.82,36.16
PEGGY MOORE,31925.0,49.54,15.4,20.02,100.0,58.22
REBECCA KAPLAN,83365.0,48.13,13.52,14.04,49.5,100.0
