Ballots with first choice:,Number of Ballots,(undeclared) ranked in top 3,Amy Klobuchar ranked in top 3,Bernie Sanders ranked in top 3,Elizabeth Warren ranked in top 3,Joseph R. Biden ranked in top 3,Michael R. Bloomberg ranked in top 3,Pete Buttigieg ranked in top 3,Tom Steyer ranked in top 3,Tulsi Gabbard ranked in top 3
(undeclared),148.0,100.0,6.08,12.16,4.05,12.84,4.05,6.08,4.73,2.7
Amy Klobuchar,140.0,5.0,100.0,14.29,40.0,52.86,10.71,40.0,8.57,7.86
Bernie Sanders,3680.0,3.07,5.98,100.0,33.34,58.8,3.02,9.97,2.39,11.03
Elizabeth Warren,689.0,1.45,25.69,58.78,100.0,66.18,4.5,21.92,3.05,4.35
Joseph R. Biden,10105.0,1.42,15.8,42.2,17.52,100.0,8.78,13.97,2.59,3.06
Michael R. Bloomberg,154.0,3.9,11.69,29.22,27.92,59.74,100.0,19.48,15.58,4.55
Pete Buttigieg,294.0,1.7,31.63,25.85,39.46,60.54,11.56,100.0,6.12,6.46
Tom Steyer,47.0,2.13,12.77,29.79,25.53,40.43,21.28,21.28,100.0,17.02
Tulsi Gabbard,134.0,3.73,16.42,41.04,7.46,38.06,5.22,16.42,3.73,100.0
