Ballots with first choice:,Number of Ballots,LAWRENCE ''STARK'' DAGESSE ranked in top 3,RAFAEL MANDELMAN ranked in top 3
LAWRENCE ''STARK'' DAGESSE,3598,3598,2070
RAFAEL MANDELMAN,38406,9845,38406
