Ballots with first choice:,Number of Ballots,Allen A. Aigbogun ranked in top 3,Cam Gordon ranked in top 3,writeIns ranked in top 3
Allen A. Aigbogun,408.0,100.0,28.19,3.43
Cam Gordon,2260.0,14.16,100.0,1.86
writeIns,21.0,14.29,33.33,100.0
