Ballots with first choice:,Number of Ballots,LAURIE CAPITELLI ranked in top 3,SOPHIE HAHN ranked in top 3,writeIns ranked in top 3
LAURIE CAPITELLI,4333,4333,1616,123
SOPHIE HAHN,3623,1340,3623,91
writeIns,28,6,6,28
