Ballots with first choice:,Number of Ballots,JOHN ROBINSON ranked in top 3,ROSS MIRKARIMI ranked in top 3,VICKI HENNESSY ranked in top 3
JOHN ROBINSON,11036.0,100.0,43.37,60.17
ROSS MIRKARIMI,61446.0,37.69,100.0,45.64
VICKI HENNESSY,113349.0,40.99,30.86,100.0
