Ballots with first choice:,Number of Ballots,"Barbara A. ""Barb"" Johnson ranked in top 3",Dana Hansen ranked in top 3,Phillipe M. Cunningham ranked in top 3,Stephanie Gasca ranked in top 3,writeIns ranked in top 3
"Barbara A. ""Barb"" Johnson",2258,2258,307,973,925,25
Dana Hansen,220,56,220,80,81,8
Phillipe M. Cunningham,2139,936,435,2139,1454,43
Stephanie Gasca,634,241,178,454,634,22
writeIns,11,1,1,4,1,11
