Ballots with first choice:,Number of Ballots,Barbara A. Johnson ranked in top 3,Grant Cermak ranked in top 3,Marcus Harcus ranked in top 3,Troy Parker ranked in top 3,writeIns ranked in top 3
Barbara A. Johnson,1546,1546,261,348,509,4
Grant Cermak,386,95,386,111,116,7
Marcus Harcus,442,194,137,442,294,3
Troy Parker,921,366,240,442,921,5
writeIns,4,1,0,0,0,4
