Ballots with first choice:,Number of Ballots,ANTOINETTE M REYES ranked in top 3,JOHANA BENCOMO ranked in top 3,ROBERT J PALACIOS ranked in top 3
ANTOINETTE M REYES,336.0,100.0,71.13,61.31
JOHANA BENCOMO,763.0,71.17,100.0,62.25
ROBERT J PALACIOS,458.0,58.3,56.11,100.0
