Ballots with first choice:,Number of Ballots,BEN GOULD ranked in top 3,BERNT RAINER WAHL ranked in top 3,GUY ''MIKE'' LEE ranked in top 3,JESSE ARREGUÍN ranked in top 3,KRISS WORTHINGTON ranked in top 3,LAURIE CAPITELLI ranked in top 3,NAOMI D. PETE ranked in top 3,ZACHARY RUNNINGWOLF ranked in top 3
BEN GOULD,1744.0,100.0,21.22,12.73,44.67,26.2,36.24,4.24,15.94
BERNT RAINER WAHL,1673.0,32.64,100.0,12.79,28.81,34.85,25.04,7.23,17.57
GUY ''MIKE'' LEE,954.0,21.91,14.26,100.0,31.97,22.96,22.33,10.8,29.98
JESSE ARREGUÍN,29039.0,13.46,5.79,13.11,100.0,51.8,38.28,2.11,12.52
KRISS WORTHINGTON,4746.0,12.2,13.25,10.32,63.08,100.0,39.57,4.45,11.9
LAURIE CAPITELLI,18995.0,16.05,8.17,5.09,45.85,27.27,100.0,2.22,6.84
NAOMI D. PETE,372.0,12.63,9.14,19.35,19.09,24.46,27.69,100.0,20.16
ZACHARY RUNNINGWOLF,1621.0,17.64,18.69,27.02,30.66,23.81,23.26,9.25,100.0
