Ballots with first choice:,Number of Ballots,Alan Webber ranked in top 3,Joseph M. Maestas ranked in top 3,Kate I. Noble ranked in top 3,Peter N. Ives ranked in top 3,Ronald S. Trujillo ranked in top 3
Alan Webber,8080,8080,3583,5113,3735,1303
Joseph M. Maestas,1649,961,1649,943,490,510
Kate I. Noble,4611,3269,2045,4611,1871,914
Peter N. Ives,1238,648,431,636,1238,381
Ronald S. Trujillo,5026,1410,2310,1640,1527,5026
