Ballots with first choice:,Number of Ballots,Arron Peskin ranked in top 3,Brian Murphy 0'flynn ranked in top 3,Eugene Chi-ching Wong ranked in top 3,Sal Busalacchi ranked in top 3
Arron Peskin,16177.0,100.0,48.26,35.71,36.24
Brian Murphy 0'flynn,4604.0,44.72,100.0,51.04,68.98
Eugene Chi-ching Wong,3569.0,47.8,55.51,100.0,39.56
Sal Busalacchi,1555.0,44.5,75.24,45.14,100.0
