Ballots with first choice:,Number of Ballots,"Bond, Tiffany L. ranked in top 3","DEM Golden, Jared F. ranked in top 3","Hoar, William R.S. ranked in top 3","REP Poliquin, Bruce ranked in top 3"
"Bond, Tiffany L.",16581,16581,8313,9508,3729
"DEM Golden, Jared F.",132091,70264,132091,60849,11802
"Hoar, William R.S.",6917,3770,2826,6917,1810
"REP Poliquin, Bruce",134315,33604,14393,32032,134315
