Ballots with first choice:,Number of Ballots,Bob Kiss ranked in top 3,Hinda Miller ranked in top 3,Kevin Curley ranked in top 3,Louie the Cowman Beaudin ranked in top 3,Loyal Ploof ranked in top 3,writeIns ranked in top 3
Bob Kiss,3809,3809,2551,1254,629,722,162
Hinda Miller,3106,2046,3106,1115,358,383,45
Kevin Curley,2609,1047,1034,2609,527,341,93
Louie the Cowman Beaudin,119,50,32,42,119,26,3
Loyal Ploof,57,33,21,20,19,57,1
writeIns,78,48,31,31,14,4,78
