Ballots with first choice:,Number of Ballots,DEAN PRESTON ranked in top 3,NOMVULA O'MEARA ranked in top 3,RYAN LAM ranked in top 3,VALLIE BROWN ranked in top 3,writeIns ranked in top 3
DEAN PRESTON,11239.0,100.0,20.96,27.71,34.99,0.0
NOMVULA O'MEARA,278.0,51.44,100.0,51.08,30.22,0.0
RYAN LAM,950.0,48.63,37.16,100.0,36.11,0.0
VALLIE BROWN,11206.0,38.87,14.66,23.92,100.0,0.0
writeIns,0.0,0,0,0,0,0
