Ballots with first choice:,Number of Ballots,Eric John Holmes ranked in top 3,Greg Scargall ranked in top 3,JoAnne Vigil Coppler ranked in top 3
Eric John Holmes,1305.0,100.0,68.89,70.34
Greg Scargall,1473.0,76.24,100.0,78.21
JoAnne Vigil Coppler,2121.0,75.15,74.12,100.0
