Ballots with first choice:,Number of Ballots,BRENDA ROBERTS ranked in top 3,LEN RAPHAEL ranked in top 3
BRENDA ROBERTS,60970.0,100.0,51.01
LEN RAPHAEL,18317.0,54.77,100.0
