Ballots with first choice:,Number of Ballots,ALLEN SCHOENFELD ranked in top 3,LEE THOMAS ranked in top 3,VICTOR AGUILAR ranked in top 3
ALLEN SCHOENFELD,1928.0,100.0,63.12,65.4
LEE THOMAS,7671.0,60.08,100.0,66.82
VICTOR AGUILAR,4595.0,62.0,66.55,100.0
