Ballots with first choice:,Number of Ballots,Blong Yang ranked in top 3,Cathy Spann ranked in top 3,Jeremiah Ellison ranked in top 3,Raeisha (RA) Williams ranked in top 3,writeIns ranked in top 3
Blong Yang,1617,1617,433,755,510,22
Cathy Spann,158,72,158,93,65,3
Jeremiah Ellison,1986,940,600,1986,1150,25
Raeisha (RA) Williams,445,194,139,309,445,4
writeIns,8,0,0,1,1,8
