Ballots with first choice:,Number of Ballots,ANDREW BLEY ranked in top 3,F. X. FRANCIS XAVIER CROWLEY ranked in top 3,GLENN ROGERS ranked in top 3,JOEL ENGARDIO ranked in top 3,JULIAN P. LAGOS ranked in top 3,LYNN GAVIN ranked in top 3,MICHAEL GARCIA ranked in top 3,NORMAN YEE ranked in top 3,ROBERT J. SQUERI ranked in top 3
ANDREW BLEY,825.0,100.0,27.27,22.3,19.39,16.48,20.85,21.82,28.61,13.7
F. X. FRANCIS XAVIER CROWLEY,7746.0,6.29,100.0,5.31,23.02,8.86,6.39,33.93,44.29,17.36
GLENN ROGERS,597.0,29.98,19.1,100.0,19.43,23.62,25.8,13.23,23.12,14.91
JOEL ENGARDIO,4168.0,9.57,37.5,6.31,100.0,7.2,6.02,35.53,34.26,13.51
JULIAN P. LAGOS,1091.0,17.97,18.52,17.14,20.44,100.0,24.2,20.35,40.88,12.1
LYNN GAVIN,719.0,26.01,16.55,29.21,16.13,28.37,100.0,18.36,25.17,8.34
MICHAEL GARCIA,5512.0,6.79,43.54,5.52,30.82,7.8,5.22,100.0,24.07,23.22
NORMAN YEE,9182.0,7.92,40.27,5.53,24.19,16.06,9.8,20.94,100.0,11.76
ROBERT J. SQUERI,1545.0,10.1,39.16,10.61,25.83,8.54,6.8,31.65,22.14,100.0
