Ballots with first choice:,Number of Ballots,CAROL LIBBRECHT ranked in top 3,"DAVID L. ANDERSON, SR. ranked in top 3",MICHAEL J. GREGORY ranked in top 3,writeIns ranked in top 3
CAROL LIBBRECHT,120.0,100.0,60.83,45.0,0.0
"DAVID L. ANDERSON, SR.",6742.0,0.27,100.0,54.08,10.13
MICHAEL J. GREGORY,13030.0,0.1,58.04,100.0,7.36
writeIns,152.0,0.0,25.66,26.32,100.0
