Ballots with first choice:,Number of Ballots,BARBARA PARKER ranked in top 3,JANE BRUNNER ranked in top 3,writeIns ranked in top 3
BARBARA PARKER,90055.0,100.0,42.56,5.93
JANE BRUNNER,40488.0,56.19,100.0,6.65
writeIns,1066.0,20.45,16.51,100.0
