Ballots with first choice:,Number of Ballots,DESLEY BROOKS ranked in top 3,LOREN TAYLOR ranked in top 3,MARLO RODRIGUEZ ranked in top 3,MYA WHITAKER ranked in top 3,NATASHA MIDDLETON ranked in top 3
DESLEY BROOKS,4429.0,100.0,35.18,17.52,38.86,23.62
LOREN TAYLOR,7158.0,17.34,100.0,31.1,47.39,53.83
MARLO RODRIGUEZ,1591.0,17.85,42.17,100.0,45.07,36.83
MYA WHITAKER,2500.0,28.56,45.72,39.56,100.0,38.72
NATASHA MIDDLETON,2167.0,14.31,49.15,42.32,58.38,100.0
