Ballots with first choice:,Number of Ballots,BLONG YANG ranked in top 3,BRETT BUCKNER ranked in top 3,IAN ALEXANDER ranked in top 3,KALE R. SEVERSON ranked in top 3,writeIns ranked in top 3
BLONG YANG,1475.0,100.0,41.29,44.2,18.17,0.68
BRETT BUCKNER,744.0,60.89,100.0,56.59,20.97,1.75
IAN ALEXANDER,1048.0,65.65,55.92,100.0,17.08,0.57
KALE R. SEVERSON,220.0,52.73,38.64,38.18,100.0,5.0
writeIns,10.0,30.0,10.0,0.0,10.0,100.0
