Ballots with first choice:,Number of Ballots,ARNOLD FIELDS ranked in top 3,DON MACLEAY ranked in top 3,DON PERATA ranked in top 3,GREG HARLAND ranked in top 3,JEAN QUAN ranked in top 3,JOE TUMAN ranked in top 3,LARRY LIONEL ''LL'' YOUNG JR. ranked in top 3,MARCIE HODGE ranked in top 3,REBECCA KAPLAN ranked in top 3,TERENCE CANDELL ranked in top 3,writeIns ranked in top 3
ARNOLD FIELDS,733.0,100.0,12.55,19.1,21.01,20.46,23.33,10.23,9.82,17.6,20.87,1.09
DON MACLEAY,1630.0,5.4,100.0,7.85,4.36,69.63,14.17,4.05,4.6,66.63,5.34,0.92
DON PERATA,40342.0,3.08,2.56,100.0,3.92,44.16,23.88,5.13,13.38,39.56,8.3,1.41
GREG HARLAND,966.0,18.01,16.67,18.84,100.0,20.5,30.64,5.9,8.59,17.6,15.63,1.76
JEAN QUAN,29266.0,2.6,4.53,33.51,2.61,100.0,32.74,3.79,13.19,58.71,6.12,0.98
JOE TUMAN,14347.0,5.12,4.66,33.52,8.87,44.97,100.0,3.32,7.84,52.14,6.04,1.05
LARRY LIONEL ''LL'' YOUNG JR.,933.0,8.47,7.18,25.62,4.93,21.65,15.01,100.0,23.04,27.55,19.83,2.04
MARCIE HODGE,2994.0,4.07,3.24,36.37,3.81,35.2,11.29,14.83,100.0,30.19,17.43,1.47
REBECCA KAPLAN,25813.0,2.38,4.36,31.27,1.63,69.0,43.13,3.98,9.55,100.0,4.71,0.87
TERENCE CANDELL,2315.0,6.91,3.63,31.66,6.31,27.21,12.79,16.29,23.76,22.55,100.0,1.12
writeIns,268.0,2.61,3.36,19.4,1.49,18.66,9.7,4.48,4.48,8.58,4.1,100.0
