Ballots with first choice:,Number of Ballots,FRED DODSWORTH ranked in top 3,ISABELLE GASTON ranked in top 3,SUSAN WENGRAF ranked in top 3
FRED DODSWORTH,2175,2175,1410,1228
ISABELLE GASTON,929,586,929,577
SUSAN WENGRAF,4358,2071,1956,4358
